gridnumber,capital,Portfolio[0 0],Portfolio[0 1],Portfolio[0 2],Portfolio[0 3],Portfolio[0 4],Portfolio[1 0],Portfolio[1 1],Portfolio[1 2],Portfolio[1 3],Portfolio[1 4],Portfolio[2 0],Portfolio[2 1],Portfolio[2 2],Portfolio[2 3],Portfolio[2 4],Portfolio[3 0],Portfolio[3 1],Portfolio[3 2],Portfolio[3 3],Portfolio[3 4],Portfolio[4 0],Portfolio[4 1],Portfolio[4 2],Portfolio[4 3],Portfolio[4 4]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0627127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64
3,0.0949849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0.127884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0.62,1
5,0.161421,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.48,0,0,0,0.26,0.88,0,0,0,0.46,1
6,0.195609,0,0,0,0,0.36,0,0,0,0.1,0.3,0,0,0,0.36,0.44,0,0,0,0.3,0.88,0,0,0,0.84,1
7,0.23046,0,0,0,0.24,0.32,0,0,0,0.16,0.74,0,0,0,0.26,0.86,0,0,0,0.58,1,0,0,0,0.76,1
8,0.265988,0,0,0,0.28,0.64,0,0,0,0.38,0.64,0,0,0,0.46,0.86,0,0,0,0.54,1,0,0,0.22,0.9,1
9,0.302206,0,0,0.04,0.42,0.76,0,0,0,0.42,0.88,0,0,0,0.48,0.96,0,0,0.22,0.72,1,0,0,0.16,0.92,1
10,0.339127,0,0,0.02,0.42,0.82,0,0,0.02,0.5,0.82,0,0,0,0.52,0.98,0,0,0.1,0.72,1,0,0,0.46,0.96,1
11,0.376764,0,0,0.18,0.54,0.76,0,0,0.22,0.6,0.94,0,0,0.24,0.64,1,0,0,0.34,0.8,1,0,0,0.44,1,1
12,0.415132,0,0,0.26,0.6,0.88,0,0,0.16,0.56,0.92,0,0,0.2,0.68,0.94,0,0,0.3,0.84,1,0,0,0.58,1,1
13,0.454244,0,0,0.22,0.62,0.86,0,0,0.38,0.7,0.96,0,0,0.38,0.76,1,0,0,0.4,0.88,1,0,0,0.58,1,1
14,0.494116,0,0,0.36,0.68,0.92,0,0,0.34,0.68,0.98,0,0,0.38,0.8,1,0,0,0.48,0.94,1,0,0,0.66,1,1
15,0.534761,0,0,0.38,0.66,0.94,0,0,0.42,0.74,1,0,0,0.46,0.84,1,0,0,0.58,0.94,1,0,0,0.6,1,1
16,0.576196,0,0.08,0.42,0.7,0.9,0,0,0.5,0.76,1,0,0,0.5,0.8,1,0,0,0.56,0.94,1,0,0,0.68,1,1
17,0.618434,0,0.04,0.48,0.76,1,0,0.06,0.46,0.82,1,0,0.04,0.56,0.92,1,0,0,0.66,1,1,0,0.06,0.7,1,1
18,0.661493,0,0.04,0.48,0.72,0.96,0,0.12,0.6,0.84,1,0,0.1,0.58,0.88,1,0,0.12,0.64,1,1,0,0,0.76,1,1
19,0.705387,0,0.1,0.52,0.84,1,0,0.12,0.56,0.84,1,0,0.14,0.66,0.98,1,0,0.08,0.66,1,1,0,0.08,0.7,1,1
20,0.750133,0,0.18,0.58,0.82,1,0,0.14,0.64,0.92,1,0,0.22,0.68,0.92,1,0,0.14,0.7,1,1,0,0.14,0.74,1,1
21,0.795747,0,0.16,0.56,0.9,1,0,0.24,0.64,0.88,1,0,0.2,0.66,0.96,1,0,0.2,0.68,1,1,0,0.08,0.76,1,1
22,0.842247,0,0.2,0.58,0.88,1,0,0.22,0.6,0.92,1,0,0.16,0.72,0.96,1,0,0.16,0.74,1,1,0,0.2,0.82,1,1
23,0.88965,0,0.24,0.6,0.9,1,0,0.18,0.68,0.94,1,0,0.18,0.7,0.98,1,0,0.22,0.72,1,1,0,0.18,0.8,1,1
24,0.937972,0,0.26,0.62,0.94,1,0,0.2,0.68,0.92,1,0,0.26,0.66,1,1,0,0.26,0.8,1,1,0,0.26,0.76,1,1
25,0.987233,0,0.28,0.62,0.92,1,0,0.28,0.64,0.98,1,0,0.26,0.76,1,1,0,0.24,0.78,1,1,0,0.28,0.8,1,1
26,1.03745,0,0.3,0.64,0.94,1,0,0.26,0.68,0.96,1,0,0.3,0.72,1,1,0,0.3,0.74,1,1,0,0.22,0.8,1,1
27,1.08864,0,0.34,0.66,0.96,1,0,0.28,0.72,0.98,1,0,0.34,0.7,1,1,0,0.32,0.78,1,1,0,0.24,0.84,1,1
28,1.14083,0,0.32,0.66,0.94,1,0,0.32,0.68,1,1,0,0.3,0.74,1,1,0,0.28,0.78,1,1,0,0.3,0.84,1,1
