gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
0,0,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034
1,0.0185364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.0372875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.0562558,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.0754439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.0948544,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.11449,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.134352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.154445,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034,0.763932,0.763932,1,1,1,1,0.618034
9,0.174771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0.195332,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,1,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034
11,0.216131,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1
12,0.237172,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966
13,0.258456,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1
14,0.279986,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.301766,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.323799,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068,1,1,0.618034,0.618034,0.618034,0.236068,0.236068
17,0.346087,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1,0.236068,0.618034,0.618034,1,1,1,1
18,0.368632,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034,1,1,1,1,0.618034,0.618034,0.618034
19,0.391439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.414511,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932,0.618034,0.618034,0.618034,0.618034,0.618034,0.763932,0.763932
21,0.437849,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034,0.618034,0.618034,0.618034,0.618034,0.381966,0.618034,0.618034
22,0.461458,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1,0.618034,0.618034,0.618034,0.618034,1,1,1
23,0.485341,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034,1,1,0.618034,0.381966,0.381966,0.381966,0.618034
24,0.5095,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1,0.381966,0.381966,1,1,1,1,1
25,0.533939,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034,1,1,1,1,1,0.618034,0.618034
