gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
0,0.01,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.52,0.52,0.51,0.51,0.51,0.5,0.5
1,0.0285363,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48,0.54,0.52,0.51,0.5,0.49,0.48,0.48
2,0.0472874,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49,0.27,0.28,0.33,0.42,0.47,0.48,0.49
3,0.0662556,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52,0.59,0.58,0.56,0.55,0.54,0.53,0.52
4,0.0854437,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51,0.56,0.54,0.53,0.52,0.52,0.51,0.51
5,0.104854,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48,0.42,0.41,0.42,0.43,0.44,0.47,0.48
6,0.124489,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51,0.58,0.56,0.54,0.53,0.52,0.51,0.51
7,0.144352,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5,0.53,0.53,0.52,0.52,0.51,0.51,0.5
8,0.164445,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.51,0.51,0.51
9,0.18477,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51
10,0.205331,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51,0.5,0.51,0.51,0.52,0.51,0.51,0.51
11,0.226131,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.52,0.52,0.52,0.52,0.51,0.51,0.5
12,0.247171,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5,0.48,0.5,0.51,0.51,0.51,0.51,0.5
13,0.268455,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45,0.37,0.37,0.37,0.37,0.38,0.43,0.45
